# id	sub	bounty	ncom	ageH	tags	title
1532863	bitcoin	0	2	9.5	HOT	Turning a Bitaxe into a Solar Bitcoin Miner
1532565	bitcoin	0	4	17.8	HOT	What Is a UTXO, and Why Does It Matter for Bitcoin Privacy?
1532724	bitcoin	0	12	14.0	HOT	Leave sats on exchange for easy selling of fork or withdraw?
1532985	bitcoin	0	0	4.9	HOT	Blockvase - real-time graphical representation of bitcoin mempool
1532777	meta	0	3	12.9	HOT	SN Saturday Newsletter 7/25/26
1532307	meta	0	1	23.5	HOT	This Day on SN: July 25
1532737	lol	0	9	13.7		Plebly - The Bitcoin Pleb Consortium
1532971	tech	0	1	5.9		How do you stop YouTube's algorithm from deciding what you watch?
1532478	gaming	0	2	19.9		Amazon Adds Video Games Into Prime Video in Expansion Push
