# id	sub	bounty	ncom	ageH	tags	title
1504805	bitcoin	0	1	1.6	FRESH	XYZVault - "we can't see your data" vs "we won't look" which one matters to you?
1504737	events	0	1	4.6	HOT	Hackalajara 2.0 returns this August in Guadalajara
1504404	Geyser_community	0	18	19.6	HOT	We got our first App donation tonight!
1504762	the_stacker_muse	0	0	3.6	HOT	Defending Bitcoin: An Exclusive Interview with Luke de Wolf (BTCHEL, JB)
1504810	bitcoin	0	1	1.3	FRESH	You asked and you have received
1504464	bitcoin	0	3	13.7	HOT	THE BITCOIN FARMER (full documentary)
1504581	bitcoin	0	7	8.2	HOT	The Satoshi Times - Mission Statement
1504337	bitcoin	0	6	23.8		In It For the Tech
1504679	tech	0	2	5.6		Toyota Truck Reliance
