# id	sub	bounty	ncom	ageH	tags	title
1499283	bitcoin	0	7	8.6	HOT	Electric water heat supply of apartment buildings w/ cryptocurrency miners
1499147	AI	0	1	15.9	HOT	Bitcoin always worked. Bridging it to the real world didn't. So I built Bringin.
1499529	tech	0	1	1.3	FRESH	The Last Technical Interview - Steve Yegge
1499492	bitcoin	0	1	2.9		Cashu Mint Auditor
1499235	events	0	11	10.9		BTC vote: Do you support the U.S. pausing arms sales to Taiwan?
1499290	bitcoin	0	6	8.3		Give Me Lightning — Lightning Network Advocacy
1499388	tutorials	0	2	5.8		Easy Bitcoin Privacy using Sparrow
1499354	AI	0	1	6.7		Built an MCP server that lets Claude pay sats over NWC
1499357	security	0	1	6.5		Let’s talk about encrypted reasoning
