# id	sub	bounty	ncom	ageH	tags	title
1483355	bitcoin	0	3	9.0	HOT	Is bitcoin getting boring?
1483426	meta	0	19	4.2	HOT	From Austin to My Small Town in India — Thank You for the Cowboy Hat, SN
1483503	bitcoin	0	1	2.3		Sunday Survey: How much BTC total is in your lightning wallets right now?
1483340	meta	0	1	9.7		This Day on SN: May 3
1483137	meta	0	10	21.7		SN Saturday Newsletter 5/2/26
1483407	AI	0	6	4.9		xAI’s GPU fleet is running at about 11% utilization
1483295	tech	0	1	13.8		Kimi K2.6 just beat Claude, GPT-5.5, and Gemini in a coding challenge
